#group,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,string,string,string,string,double,long,long,string,double,double,double,string,string,double,double,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_time,_start,_stop,_measurement,client_id,deveui,name,acc_x_01,acc_x_02,acc_x_03,acc_x_04,acc_y_01,acc_y_02,acc_y_03,acc_y_04,acc_z_01,acc_z_02,acc_z_03,acc_z_04,analog_input_01,appid,devadd,deveui,devid,digital_input_01,fcnt,fport,frmpayload,gps_alt_01,gps_lat_01,gps_lng_01,gweui,gwid,gwlat,gwlng,hexapayload,lum_sensor_01,ned_x_03,ned_x_04,ned_x_05,ned_x_06,ned_x_07,ned_x_08,ned_x_09,ned_x_10,ned_x_11,ned_x_12,ned_x_13,ned_x_14,ned_x_15,ned_x_16,ned_x_17,ned_x_18,ned_x_19,ned_x_20,ned_x_21,ned_x_22,ned_x_23,ned_y_03,ned_y_04,ned_y_05,ned_y_06,ned_y_07,ned_y_08,ned_y_09,ned_y_10,ned_y_11,ned_y_12,ned_y_13,ned_y_14,ned_y_15,ned_y_16,ned_y_17,ned_y_18,ned_y_19,ned_y_20,ned_y_21,ned_y_22,ned_y_23,ned_z_03,ned_z_04,ned_z_05,ned_z_06,ned_z_07,ned_z_08,ned_z_09,ned_z_10,ned_z_11,ned_z_12,ned_z_13,ned_z_14,ned_z_15,ned_z_16,ned_z_17,ned_z_18,ned_z_19,ned_z_20,ned_z_21,ned_z_22,ned_z_23,rssi,snr,temp_sensor_01,timestamp
,,0,2022-09-06T15:42:10.101046528Z,2022-09-06T15:42:00Z,2022-09-06T15:57:00Z,test-traj-etho-pierre,test-thesis-pierre,383434305E37840A,iot-24,0.01,0.36,,,5,1,,,0,0.09,,,1.3,test-thesis-pierre,260B135A,383434305E37840A,iot-24,2,1,136,AwACBGcHIgUCAIIGZQD/B3EAChOIAAAHcQFoA+gAWgiI/MUICG+cAAAACXEAAAAAAAAJcQAAAAAAAAlx/9//tAAACXH/kfvrAAAJcQBK+CAAAAlxAKP0TgAACXH/7/CCAAAJcf937K4AAAlx/5Po1gAACXH/+eT+AAAJcf/u4SYAAAlxAB/dTgAACXEAD9l2AAAJcf/11Z4AAAlx/4zRygAACXH+yc4IAAAJcfs/zScAAAlx92fNDAAACXHzj80AAAAJce+5zU4AAAlx65DNSwAA,0,-21.1704,55.286,E45F01FFFE4F52A5,rak7244-test-these,0,0,0300020467072205020082066500ff0771000a138800000771016803e8005a0888fcc508086f9c000000097100000000000009710000000000000971ffdfffb400000971ff91fbeb00000971004af8200000097100a3f44e00000971ffeff08200000971ff77ecae00000971ff93e8d600000971fff9e4fe00000971ffeee12600000971001fdd4e00000971000fd97600000971fff5d59e00000971ff8cd1ca00000971fec9ce0800000971fb3fcd2700000971f767cd0c00000971f38fcd0000000971efb9cd4e00000971eb90cd4b0000,255,0,0,-0.033,-0.111,0.074,0.163,-0.017,-0.137,-0.109,-0.007,-0.018,0.031,0.015,-0.011,-0.116,-0.311,-1.217,-2.201,-3.185,-4.167,-5.232,0,0,-0.076,-1.045,-2.016,-2.994,-3.966,-4.946,-5.93,-6.914,-7.898,-8.882,-9.866,-10.85,-11.83,-12.792,-13.017,-13.044,-13.056,-12.978,-12.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,12,182.6,2022-09-06T15:42:01.340672836Z
,,0,2022-09-06T15:48:53.871836771Z,2022-09-06T15:42:00Z,2022-09-06T15:57:00Z,test-traj-etho-pierre,test-thesis-pierre,383434305E37840A,iot-24,0.01,0.18,,,5,1,,,0,0.09,,,1.16,test-thesis-pierre,260B135A,383434305E37840A,iot-24,3,2,136,AwADBGcMjAUCAHQGZQGUB3EAChOIAAAHcQC0A+gAWgiI/MUFCG+QAAAACXH/Xf/vAAAJcflhANwAAAlx81UBoQAACXHvAwSxAAAJce+xCr8AAAlx8FAQ1QAACXHtdxW+AAAJceiIGU8AAAlx4q8avwAACXHcmBqOAAAJcdaCGpQAAAlx0G0a3QAACXHKVxsEAAAJccR8HFQAAAlxvmgcrQAACXG4Vh0JAAAJcbJDHS0AAAlxrC0diQAACXGmUR87AAAJcaClIXkAAAlxm+EmsgAA,0,-21.1707,55.2848,E45F01FFFE4F52A5,rak7244-test-these,0,0,03000304670c8c05020074066501940771000a13880000077100b403e8005a0888fcc505086f900000000971ff5dffef00000971f96100dc00000971f35501a100000971ef0304b100000971efb10abf00000971f05010d500000971ed7715be00000971e888194f00000971e2af1abf00000971dc981a8e00000971d6821a9400000971d06d1add00000971ca571b0400000971c47c1c5400000971be681cad00000971b8561d0900000971b2431d2d00000971ac2d1d8900000971a6511f3b00000971a0a52179000009719be126b20000,404,-0.163,-1.695,-3.243,-4.349,-4.175,-4.016,-4.745,-6.008,-7.505,-9.064,-10.622,-12.179,-13.737,-15.236,-16.792,-18.346,-19.901,-21.459,-22.959,-24.411,-25.631,-0.017,0.22,0.417,1.201,2.751,4.309,5.566,6.479,6.847,6.798,6.804,6.877,6.916,7.252,7.341,7.433,7.469,7.561,7.995,8.569,9.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,12,321.2,2022-09-06T15:48:45.011763729Z
,,0,2022-09-06T15:55:47.881311632Z,2022-09-06T15:42:00Z,2022-09-06T15:57:00Z,test-traj-etho-pierre,test-thesis-pierre,383434305E37840A,iot-24,0.01,0.45,0.61,0.98,5,1,2,1,0,0.09,0.06,0.04,1.24,test-thesis-pierre,260B135A,383434305E37840A,iot-24,4,3,136,AwAEBGcK7QUCAHwGZQGiB3EAChOIAAAHcQHCA+gAWgdxAmIH0AA8B3ED1APoACgIiPzE8ghvnwAAAAlxAAAAAAAACXEAAAAAAAAJcQJABJMAAAlxAkAEkwAACXEEuQFwAAAJcQpS/SQAAAlxEGb5lwAACXEWbfXqAAAJcRyi8osAAAlxI0bwRgAACXEqTPB9AAAJcTFE8Z8AAAlxOC/xZgAACXE+6+8/AAAJcUWh7QYAAAlxTHbrmAAACXFR8e1EAAAJcVTk868AAAlxV2H6FQAA,0,-21.1726,55.2863,E45F01FFFE4F52A5,rak7244-test-these,0,0,03000404670aed0502007c066501a20771000a13880000077101c203e8005a0771026207d0003c077103d403e800280888fcc4f2086f9f0000000971000000000000097100000000000009710240049300000971024004930000097104b90170000009710a52fd24000009711066f99700000971166df5ea000009711ca2f28b000009712346f046000009712a4cf07d000009713144f19f00000971382ff166000009713eebef3f0000097145a1ed06000009714c76eb980000097151f1ed440000097154e4f3af000009715761fa150000,418,,,0,0,0.576,0.576,1.209,2.642,4.198,5.741,7.33,9.03,10.828,12.612,14.383,16.107,17.825,19.574,20.977,21.732,22.369,,,0,0,1.171,1.171,0.368,-0.732,-1.641,-2.582,-3.445,-4.026,-3.971,-3.681,-3.738,-4.289,-4.858,-5.224,-4.796,-3.153,-1.515,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,11.8,279.7,2022-09-06T15:55:42.413667875Z
,,0,2022-09-06T15:56:49.145735614Z,2022-09-06T15:42:00Z,2022-09-06T15:57:00Z,test-traj-etho-pierre,test-thesis-pierre,383434305E37840A,iot-24,0.01,0.33,,,5,1,,,0,0.09,,,1.02,test-thesis-pierre,260B135A,383434305E37840A,iot-24,5,4,136,AwAFBGcA1wUCAGYGZQA6B3EAChOIAAAHcQFKA+gAWgiI/MUICG+cAAAACXEAAAAAAAAJcQAAAAAAAAlxAAAAAAAACXEAAAAAAAAJcQAAAAAAAAlxAAAAAAAACXEAAAAAAAAJcQAAAAAAAAlxAAAAAAAACXEAAAAAAAAJcQAAAAAAAAlxAAAAAAAACXEAAAAAAAAJcQAAAAAAAAlxAAAAAAAACXEAAAAAAAAJcQAmAKAAAAlxAE0BQQAACXEAfwHeAAAJcQCVAoEAAAlxARUIMAAA,0,-21.1704,55.286,E45F01FFFE4F52A5,rak7244-test-these,0,0,030005046700d7050200660665003a0771000a138800000771014a03e8005a0888fcc508086f9c00000009710000000000000971000000000000097100000000000009710000000000000971000000000000097100000000000009710000000000000971000000000000097100000000000009710000000000000971000000000000097100000000000009710000000000000971000000000000097100000000000009710000000000000971002600a000000971004d014100000971007f01de000009710095028100000971011508300000,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.077,0.127,0.149,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.321,0.478,0.641,2.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,10.8,21.5,2022-09-06T15:56:39.990344815Z

